Plant,Material,Description,Unrestr.Stock,UOM,Open Cust Ord,Total Open Delv,Open Prod Ord,Open Purch Ord,Open STO,In Transit,Net Available,Current Tons,Safety Stock,Max Stock Lvl,Planning Material,Restric Stock,Blocked Stock,In Qual.Insp (Restr.),Material Group,Outer Diameter,Plant Name,Wall Thickness,City,State,Country,Pincode,Full Location,Material Type,Weekly Forecast,Days of Supply Available,Organisation,Sub Category,Material Category,Column1,,,,,,,,,,,
4350,06497,1/2    ELBOW RIGID ALUM 90 DEG STD RAD,0.008,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.000,0.000,R00840104-ALUM,0.000,0.000,0.000,59,0.840,Northwinds Corporation,0.0000,Mississauga,ON,Canada,            L5B 3C9,"Mississauga, ON, Canada",Elbow Blanks,0.00,0.00,Western,Elbow Blanks,,4350064971/2    ELBOW RIGID ALUM 90 DEG STD RAD,,,,,,,,,,,
3130,06497,1/2    ELBOW RIGID ALUM 90 DEG STD RAD,0.008,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.000,0.000,R00840104-ALUM,0.000,0.000,0.000,59,0.840,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130064971/2    ELBOW RIGID ALUM 90 DEG STD RAD,,,,,,,,,,,
3200,06497,1/2    ELBOW RIGID ALUM 90 DEG STD RAD,0.006,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.000,0.000,R00840104-ALUM,0.000,0.000,0.000,59,0.840,Nelson and Associates,0.0000,Santa Fe Springs,CA,USA,90670,"Santa Fe Springs, CA, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3200064971/2    ELBOW RIGID ALUM 90 DEG STD RAD,,,,,,,,,,,
4170,07014,5      ELBOW RIGID 90 DEG 30  RAD,0.128,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.128,0.000,0.000,R05563225-C1010H,0.000,0.000,0.000,59,5.563,Electra Sales of N Tx Inc,0.0000,Iriving,TX,USA,75039,"Iriving, TX, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,4170070145      ELBOW RIGID 90 DEG 30  RAD,,,,,,,,,,,
2900,07014,5      ELBOW RIGID 90 DEG 30  RAD,0.000,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.298,0.000,R05563225-C1010H,0.000,0.000,0.000,59,5.563,Auburn Warehouse,0.0000,Auburn,WA,USA,98002,"Auburn, WA, USA",Elbow Blanks,0.30,0.04,Zekelman Warehouse,Elbow Blanks,,2900070145      ELBOW RIGID 90 DEG 30  RAD,,,,,,,,,,,
1600,07014,5      ELBOW RIGID 90 DEG 30  RAD,0.043,TON,0.510,0.000,0.000,0.000,0.000,0.000,-0.467,-0.467,0.298,0.000,R05563225-C1010H,0.000,0.000,0.000,59,5.563,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.30,0.04,Manufacturing Plants,Elbow Blanks,,1600070145      ELBOW RIGID 90 DEG 30  RAD,,,,,,,,,,,
1600,07033,1 1/2  ELBOW RIGID 30 DEG 36  RAD,0.022,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.022,0.000,0.000,R01900121-C1012H,0.000,0.000,0.000,59,1.900,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070331 1/2  ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
1600,07035,4      ELBOW RIGID 15 DEG 36  RAD,0.078,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.078,0.078,0.000,0.000,R04500208-C1012H,0.000,0.000,0.000,59,0.000,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070354      ELBOW RIGID 15 DEG 36  RAD,,,,,,,,,,,
4350,07039,3      ELBOW RIGID 30 DEG 36  RAD,0.059,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.059,0.000,0.000,R02875165-C1012H,0.000,0.000,0.000,59,3.500,Northwinds Corporation,0.0000,Mississauga,ON,Canada,            L5B 3C9,"Mississauga, ON, Canada",Elbow Blanks,0.00,0.00,Western,Elbow Blanks,,4350070393      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
3410,07039,3      ELBOW RIGID 30 DEG 36  RAD,0.234,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.234,0.000,0.000,,0.000,0.000,0.000,59,3.500,Electro Lines,0.0000,Syracuse,NY,USA,13202,"Syracuse, NY, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3410070393      ELBOW RIGID 30 DEG 36  RAD,,,,,,,,,,,
